#YY;MM;DD;hh;mm;WDI;R WSP;D GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;TIDE
#yr;mo;dy;hr;mn;deg;T m/s;m/s;m;sec;sec;deg;T   hPa;degC;degC;degC;mi;ft
2012;1;4;23;50;320;6.2;7.1;2.63;12.9;9.72;294;1025.4;12.4;12.1;999;99;99
2012;1;5;0;50;314;6.1;7.2;2.69;12.12;9.7;290;1025.6;12.3;12.1;999;99;99
2012;1;5;1;50;310;8.5;10.2;2.76;11.43;9.34;281;1026;12.8;12;999;99;99
2012;1;5;2;50;299;8.8;10.4;2.82;12.9;8.82;285;1026.6;12.1;12;999;99;99
2012;1;5;3;50;303;8.5;10.4;3.06;12.12;8.74;285;1027;12.2;11.9;999;99;99
2012;1;5;4;50;315;9.8;11.5;2.92;12.9;8.34;282;1026.7;12;11.9;999;99;99
2012;1;5;5;50;314;12.1;15;2.86;12.9;7.9;289;1026.9;11.5;11.9;999;99;99
2012;1;5;6;50;322;11.7;13.8;3.13;12.12;7.49;292;1027.1;11.6;11.9;999;99;99
2012;1;5;7;50;327;9.7;12;3.19;12.9;7.64;276;1027.2;11.5;11.9;999;99;99
2012;1;5;8;50;322;9.3;12.2;3.4;12.12;7.98;290;1027.3;11.2;11.9;999;99;99
2012;1;5;9;50;332;9.4;12.2;3.86;13.79;8.82;285;1027.3;11.6;11.9;999;99;99
2012;1;5;10;50;337;9.4;11.3;3.51;12.12;8.09;291;1027.1;11.5;11.9;999;99;99
2012;1;5;11;50;333;8.6;10.6;3.47;12.9;8.26;287;1026.9;11.6;11.9;999;99;99
2012;1;5;12;50;334;6.2;7.7;3.59;12.12;8.83;290;1026.6;11.9;11.8;999;99;99
2012;1;5;13;50;323;6.2;7.4;3.73;13.79;9.24;282;1026.1;11.9;11.8;999;99;99
2012;1;5;14;50;319;5.9;7.6;3.72;13.79;9.25;277;1026.2;12;11.8;999;99;99
2012;1;5;15;50;320;7.4;9.1;3.84;13.79;9.74;278;1026.1;11.8;11.7;999;99;99
2012;1;5;16;50;315;8.3;9.9;3.6;14.81;9.19;271;1026.6;11.9;11.7;999;99;99
2012;1;5;17;50;315;9.6;12.1;3.99;13.79;9.65;282;1026.8;11.8;11.7;999;99;99
2012;1;5;18;50;324;8.3;10.7;3.73;13.79;8.96;287;1026.8;11.5;11.7;999;99;99
2012;1;5;19;50;324;7.8;10;3.79;13.79;9.13;282;1025.8;11.5;11.8;999;99;99
2012;1;5;20;50;320;8.5;10.5;3.89;14.81;9.06;283;1024.8;11.8;11.8;999;99;99
2012;1;5;21;50;319;8.8;11.6;3.95;13.79;9.06;285;1024.1;12;11.8;999;99;99
2012;1;5;22;50;314;9.7;11.5;4;14.81;9.31;292;1023.5;12.3;11.8;999;99;99
2012;1;5;23;50;306;10.7;13;4.2;13.79;9.3;287;1023.1;12.2;11.8;999;99;99
2012;1;6;0;50;307;10.8;13.5;4.36;14.81;9.43;297;1023;12;11.8;999;99;99
2012;1;6;1;50;310;10.2;12.5;4.18;14.81;8.93;290;1022.9;11.8;11.8;999;99;99
2012;1;6;2;50;309;9.6;12;4.6;14.81;9.81;292;1022.8;11.6;11.7;999;99;99
2012;1;6;3;50;309;10.6;12.8;4.39;17.39;9.47;303;1022.7;11.3;11.7;999;99;99
2012;1;6;4;50;304;10.1;12.6;4.37;17.39;8.88;291;1022.5;11.1;11.6;999;99;99
2012;1;6;5;50;306;10.3;12.7;4.62;17.39;9.65;288;1022.5;11;11.6;999;99;99
2012;1;6;6;50;307;10;12;4.71;17.39;9.56;280;1022.7;10.9;11.5;999;99;99
2012;1;6;7;50;313;10.4;13.2;4.31;14.81;9;302;1022.3;10.8;11.5;999;99;99
2012;1;6;8;50;313;10.5;12.9;4.86;16;9.27;300;1022.1;10.7;11.5;999;99;99
2012;1;6;9;50;309;11.1;13.6;5.12;17.39;9.86;298;1022.1;10.5;11.5;999;99;99
2012;1;6;10;50;318;9.9;12.7;4.51;17.39;9.05;300;1022;10.6;11.5;999;99;99
2012;1;6;11;50;312;10.8;13.2;4.54;16;8.78;295;1021.8;10.4;11.5;999;99;99
2012;1;6;12;50;314;11;14.2;4.35;16;8.9;293;1021.5;10.4;11.5;999;99;99
2012;1;6;13;50;312;11.1;14;4.45;16;8.89;289;1021.5;10.4;11.5;999;99;99
2012;1;6;14;50;320;11.6;14.9;4.88;16;9.42;304;1021.6;10.4;11.5;999;99;99
2012;1;6;15;50;323;11;13.6;4.59;14.81;9.02;295;1021.8;10.3;11.5;999;99;99
2012;1;6;16;50;316;10;12.8;4.87;16;9.28;306;1022.7;10.4;11.5;999;99;99
2012;1;6;17;50;322;10.6;13;5.13;16;9.41;309;1023.2;10.6;11.5;999;99;99
2012;1;6;18;50;326;10.3;12.3;5.74;16;10.18;300;1023.2;10.6;11.6;999;99;99
2012;1;6;19;50;324;11.3;13.5;4.93;14.81;9.33;308;1022.3;10.6;11.6;999;99;99
2012;1;6;20;50;322;9.6;12.6;5.53;16;9.66;313;1021.5;10.7;11.6;999;99;99
2012;1;6;21;50;323;10.9;13.5;5.09;16;9.05;308;1020.8;10.7;11.6;999;99;99
2012;1;6;22;50;323;9.9;12.2;4.61;16;8.71;309;1020.8;10.7;11.6;999;99;99
2012;1;6;23;50;318;10.8;13;4.56;14.81;8.75;305;1021;10.7;11.6;999;99;99
2012;1;7;0;50;322;12.1;14.7;4.19;14.81;8.31;307;1020.9;10.8;11.6;999;99;99
